Sentiment,Text
pos,"@taeyongef wahhh, semoga akun gojek ku wangi????"
neg,Baik gojek juga pcr? Mending di kosan https://t.co/ydj853ez4L
pos,@hyepuppie Itu hp mainan yang bunyi nya aya ya bang Jali naik gojek
pos,@romeogadungan pas gojek parodikan godzilla dan gavan juga kabarnya sempat bermasalah. tapi belum denger lagi beritanya.
pos,@joyuIcart sm abang gojek tdi ?? https://t.co/VQiWzROxqf
pos,"️️ ️️

Voucher GOJEK 

GoRide diskon 6k
?? 1k
GoFood 30% minbel 25k 
GoSend diskon 75% max 20k
?? 1,5k - 2k
GoMart diskon 15k minbel 25k
?? 2k

?? belum gofood plus  
?? bisa payment pakai selain gopay
?? bisa cek harga dulu 

#zonauang https://t.co/aTq9gQGDBd"
neg,Apaa sih gojek gini ml https://t.co/cz8bWnh4hC
neg,"Btw, ada ga sih yg jual gojek premium? ?? Udah 2milyar kali upgrade gojek gagal terus ??"
neg,"Selalu saja dipanggil mas2 oleh bapak gojek 
?? https://t.co/QAjCSbVe57"
neg,Woy kenapa tiap buka grab pasti ada notif gojek dah????????????????
pos,ak dh pulang skolah naik gojek abangnya baik bgt bawain buku ak ??
pos,"RT @ArjunaIreng_12: Sebagai Driver Gojek gw mau ikutan Menteri Agama kalo Menteri Pendidikan adalah Hadiah bagi Driver Online, bakal kena g…"
pos,aku suka promo Gojek ??
neg,pesen gojek kirain tadi udah reda taunya ujannya deres lagi. ga tega??
pos,"trus video video kita bareng pasti udah diapus, nanti gue jalan ke jkt bingung sama siapa, oiya gojek sama Transjakarta kan ada, cm tinggal tanya rutenya lewat mana aja"
pos,"Chattingan di WA ❌
Chattingan di Gojek ✅ https://t.co/8KSxKyb9dz"
pos,"Gojek lagi baik bgt ya, tadi pergi udh kena potongan voucher 10 rb cuma bayar 1rb, eh dapet cashback 10 rb ?????? https://t.co/ndVuoaOb7P"
pos,"Hamdulilah sekarang udah ada gojek sama grab jadi nggak berurusan sama metro mini, kopaja, dan seisinya ??"
pos,"@anakgendud_ @abcdvt CEKK JAK KAK GOJEK,BANYAAK"
pos,"Yuk yg cari promo gojek goride gocar potongan 8k (5), 10k (4)

Fee 2k! Dm aja https://t.co/br6xOYVth6"
neg,"Tiba-tiba ane dikagetkan dengan penampakan Si Gatot Koco yang naik gojek, katanya Gatot Koco gak bisa terbang gara gara cuaca yang tidak menentu ???? https://t.co/42RrmMh1K5"
neg,"Hallo @gojekindonesia 
Apa tidak ada tindakan ? 
Orderan gojek kertas nya menggunakan kertas milik @GrabID 
???? https://t.co/irY4c6K5u8"
neg,"gapapa, sih. tas ud lama ini TAPI PUTUS NY PAS GW LG NAIK GOJEK ANJR KAYAK?!?!#!#!! brengsek"
pos,Aril aja pakai gojek masa kamu kagak???????? https://t.co/Nxu08BvCg0
pos,"RT @3CareIndonesia: Seluruh mitra driver Gojek atau Grab bisa punya untung lebih!

Top up saldo Grab/Gojek via 3DigiBox, dapat untung cashb…"
neg,Gojek lagi saya bekukan https://t.co/X1v3TIGHIA https://t.co/G2Q7xRmAIf
pos,"fyi aja, untuk kosan di skitrn tebet bisa ke jl. sadar 1-3 atau ke bukit duri (cari aja teras yoenoes di grab/gojek) itu byk kosan skitr 900k, tpi no ac, n kmr mndi luar seingtku https://t.co/hL7TdLXs6U"
neg,"Tuhan, kenapa acc gojek aku ke banned?? https://t.co/I6Xuxzq7di"
neg,Random tiba2 mikir. Klo tiba2 gak ada gojek/grab dan per-ojol-an lainnya. Kira2 itu member gojek/grab/ojol bakal kerja apa ya?
neg,"need voc voucher gojek gocar L potongan 20k untuk dipake besok. drop fee
#zonauang️ #zonaba #zonaBU"
neg,@oceiann Sama... Padahal udah sering bgt pake gojek
pos,"Grgr liat pita pakai gojek trus,aku jd pengen cobe @abcdvt https://t.co/dIbUlSSNP1"
neg,kemaren ngetweet ini sambil nangis di gojek https://t.co/ZorgLm4pfu
pos,@UNSfess_ Pernah minggu tanggal 17 saat hujan deras ga ada driver gojek atau grab. Temenku yg bilang. Tapi setelah agak reda ada juga akhirnya sih
pos,"@bertanyarl mamang gojek, nyoh ini Lee know stray kids https://t.co/DFA1pdIUiq"
pos,"@meraputihbiru Hai Kak, mohon maaf sebelumnya. Untuk melakukan pengecekan silakan informasikan nomor telepon dan email yang terdaftar pada Aplikasi Gojek melalui DM. Terima kasih ^yun"
pos,"@sesuaiumur masih bisa kak, kalau itu promo dari restonya langsung gabisa di gabung. kecuali yg dari gojek 90% 75% 50% gitu kak"
pos,Btw gais gojek promonya gede2an loh nih aku beli ini banyak cm 127 https://t.co/UQofPCa8Bj
neg,"RT @mariagratianne: bener, yg gajelas bgt tu klaten. blas ganok transportasi umum kecuali gojek mbe becak. perkembangan wilayah yg ga rata.…"
neg,@gojekindonesia @vegibagasp Kalau driver Gojek melakukan premanisme lapor kemana ya selain polisi?
neg,"Wonho kang gojek
#ウォノ #원호 #WONHO
#ON_THE_WAY #WONHO_JapanDebut1027 https://t.co/k3F4ZO7b1h"
neg,"@Gojek_official @SosmedAnu Lho kan abis itu maaf2an lg, trus gibah lg. ??
Tp memang kenyataannya seperti itu kisanak. ??"
pos,"RT @Miduk17: @Irwan2yah Kawal terus kasus ini, jangan sampai abang gojek dijadikan tersangka

You know kan, polisi skrng lg aneh2"
pos,"gua tdi naik gojek mau pulang, pas udh dirumah trs bayar dong gua bingung ni mas nya knp masi ngeliatin gua kan dah bayar, gtw nya helm nya blm gua lepas ????"
pos,"@keshikiayame beli pas promoan gojek mantul bgt beb, di sana gak ada?"
neg,"@SbuxIndonesia Halo kak, sy barusan tlp sbuxMetland Greenlake. kemarin pesan 5btl tp yg dtg baru 4,sy psn lewat gojek. Lalu gojeknya yg tlp saya& blg klo kurang 1btl & ktnya pihak sbux yg akan kirim dgn gosend. Tp smp skrg blm sy terima & ga ada pihak starbucks metland yg tlp sy"
neg,"pergi ke sklh pake gojek. pas udh nyampe sekolah gue byr & bilang makasih

pas cuci tangan, baru inget kalo bawa tas yg isinya bukupaket, & ketinggalan di motor mas2 gojeknya ??

pas mau ngejar ternyata udh jauh, tp mas2nya untungnya balik lg yaAllah maaf bgt mas ngerepotin"
neg,Betapa buruknya @gojekindonesia ???????????????????????? waktu ngaktifkan pembayaran tokped dr gojek krn tokopoint di pindah ke gopay point eh gak sengaja pilih gopay later krn gak fokus. Dan gila aja dr total belanja cm 41rban fee nya 25rb. Dibatalin eh tetep disuruh bayar 27rb. Hati2 guys https://t.co/YPDc3xEe05
neg,"@sbyfess fisik kecil engga, muka kaya bocah iya. aku umur 29x kemaren naik gojek sm abangnua ditanya “mba masih sekolah ya?” cuma perkara aku berenti ke tempat foto copy ??"
neg,nyesel w update app gojek fakkk.
neg,"RT @gopayindonesia: Coba baca dulu translate-an ini biar kamu lebih paham kegunaan KTP buat upgrade akun ke GoPay Plus.
Soalnya banyak yang…"
neg,"@indrianautami Td gue berangkat dr cakung jam 06.08. Terus naik MRT dr dukuh atas jam 06.49 (kecepetan sampe kantor). Besok2 kayanya agak siangan dikit. Oh gitu ya naik, mayan juga emg kalo PP belum lg ke rumah gojek lg ya"
neg,"bener, yg gajelas bgt tu klaten. blas ganok transportasi umum kecuali gojek mbe becak. perkembangan wilayah yg ga rata. bahkan nde kecamatanku ilo raono atm blas ngeri pokoe urip nde kene gais, menyesal aku. https://t.co/sMyS4f9T7U"
pos,"@ijimayoo_o KOK GOJEK, gopud."
pos,@ijimayoo_o gojek aja
neg,sdgkan saya tdk punya akun gojek/gopay dgn nomor saya yg aktif skrg & keberatan jika hrs buat akun gojek/gopay baru dgn nomor saya yg aktif skrg...
pos,Platform Fee Gojek makin naik aja ni mantap cuan cuan cuan??
pos,"@FOOD_FESS BUY ANJRRTT, PLS BITTERSWEET DI BALAM ADA DI GOJEK DONGG"
neg,"@JANGANSENTUHAQq Aku gangerti promoan gojek deh, pdhal klau liat mutual mantep banget promonya lumayan"
pos,@TechmenID Citarasa gojek sekali
pos,"Gojek Sumbang Rp249 Triliun ke PDB Indonesia di 2021 
https://t.co/npEafj4Y9V via @mnews_id"
pos,"• sempet nonton shangchi di hari terakhir tayang 
• pertama kalinya jalan"" di mall surabaya by myself 
• iseng ke gramedia ternyata ada diskon jd beli dua komik one piece
• mas-mas gojek yang antar-pulang is such a good guy lol

istg that was the best monday in my life. https://t.co/06jM1UPFLk"
pos,"@afuri_ ngga kaa instant ekspedisinya wkwkw gojek,grab gituu"
pos,"open verif prov isat ??

✰ create/sehat : 1k/1,5k
✰ lock/sakit : 3k/2k
✰ semi khusus : 4k/3k
✰ khusus : 6k/5k
✰ verif tele : 2k
✰ verif wa : 10k/6k
✰ verif app lain : 1k
✰ verif shopee & spay : 2k

https://t.co/ktA8TSicDx

t. #zonauang verif wa verif shopee verif gojek 1"
pos,"@UNSfess_ Cukup kalo pake promo gojek, sopipud dll wkwk"
neg,@kiyowwoo asli gila bgt gojek fa ??
pos,"@flip_id clue jangan boros
Bener2 sih 

Ovo : Bisa tokped, Grab, ( Buat saya )
Gopay : bisa tokped, Gojek ( Buat saya )
Shopeepay : Tau sendiri buat apa kan
Dana : Bisa buat Lazada (kalo enggak salah) Tapi karena orang gk bisa pake dana jarang banget jadi clue nya jangan boros"
pos,@nna_nojaem mau pc renjun buat nambah temen si renjun gojek :(
neg,@gojekindonesia min saya mau hapus akun gojek saya gimana caranya?
neg,"Skip hari ini.
Pesen blue bird lewat aplikasi gojek dan pembayaran pake gopay.
Pas udah nyampe tujuan, mau turun dari taksi, reflek scan QRIS dan bayar lewat aplikasi mobile banking.
Jadi bayar double deh ya kan.
Untung bapak taksinya langsung ganti cash pake uang dia dulu."
pos,"Wts voucher diskon goride/gocar/gosend/gojek. Fee 2k only. Dom jabodetabek (gosend bisa diluar jabodetabek)

Payment E-wallet/bca/QRIS, langsung wa aja yaaa https://t.co/X2VDvaGR5x
#zonauang #zonaba #zonabu https://t.co/KsWgIC5r8T"
pos,"WTS ready jual vouc vc voucher gojek, gofood 30% udah free ongkir goplus ya
yg mau bisa dm okee
#zonauang #zonaBU https://t.co/mTb9BH0azo"
neg,"@clxwnerie sumpah ini semalem gegara gue naik gojek motornya tinggi terus ngebut bgt hampir mati gw lgsg nyebut ""anjing jovi"" ☠️☠️☠️"
pos,"RT @abu_waras: Kalau Kementerian Agama Hadiah dari Negara Untuk NU, Berarti Kemendikbud adalah Hadiah Negara untuk Tukang Gojek. 
Yang lain…"
pos,Itu kemajuan kasian mas-mas gojek nya?? https://t.co/M5qHqxOS1X
neg,"hdh gojek km menghilangkan cust ak, makasi bgt loh. ??"
neg,@convomfs GOJEK NY KSIAN GK DUDUK AJKWNSHAKWIS
pos,jalan2 di sekitaran kampus trus gobyos.. mendung tapi sumuk..  summon gojek wae.. https://t.co/gUBOTrXzXM
pos,@chaneffects mending pake helm gojek biar gue ga gila
pos,@ventiprettiest keren bgt mau aku gojek ayam geprek ga
neg,Seandainya promo gojek gak gacha....
pos,sedangkan temen gue bahkan bisa temenan sama mas-mas yg suka nawarin kopi depan tempat kerja dan temenan juga sama mas-mas gojek
neg,"@gopayindonesia hallo, saya isi pulsa di aplikasi Gojek menggunakan metode pembayaran Gopay. Gopay saya sudah terpotong tetapi sampai saat ini pulsanya belum masuk. Dari jam 5:53 WIB statusnya masih dalam proses."
pos,"@akubii0 @bertanyarl Papa kerja cuma tiap aku bilang ""pulang jam 1 pa"" trus tbtb aja bilang mau jemput padahal aku udh inisiatif naek gojek"
pos,@sadisticashley Tapi lebih murah gojek
pos,@gilbhas Beberapa bulan lagi driver gojek juga bawa alat PCR buat tes semua penumpang nya
pos,"Abis jadi abang gocar skrg jadi Abang gojek ini @gojekindonesia  gak mau meminang abang ganteng?? @pledis_17

WONWOO DRIVING CRAZY 
#Attacca_Dday #SVT_Rockwithyou #RockWithYou_RockWithSVT #SEVENTEEN #Attacca #WONWOO #세븐틴 #그어디라도_캐럿들은_락위드_세븐틴 https://t.co/1yFRoVbliQ"
neg,"@hooligan3333 @zimbabwedriver Gojek emang kitu mas,garis koneng jeung biru na mahiwal ??"
pos,"RT @annapurnagandhi: @CakSabri1 @fathanqibow @7FriendsBTS @sylvkartika @Just17Ken Aku tinggal d Jkt, kerja jg d jkt, lbh milih tinggal d ap…"
neg,Mood lg ancur banget seharian. Trs ngide makan sendiri di mcd jakal sambil diliatin kerumunan abang2 gojek yg lg nunggu orderan wkwk :'(
neg,"RT @itsnabunny: ‼️Want To Sell / WTS‼️

?? Renjun Boom Vers/Renjun Gojek
?? Album Only Boring ( masih lengkap printilan, minus pc aja )

‼️ T…"
pos,"@bulutangkisRI Paksa mereka pulang...gk ada pilihan lain,selain gojek...."
pos,@lovelykyungjun Ayo cepet gojek tp aku saranin besok aja sih belinya ??
pos,"‼️Want To Sell / WTS‼️

?? Renjun Boom Vers/Renjun Gojek
?? Album Only Boring ( masih lengkap printilan, minus pc aja )

‼️ Takeall Only, Price? Dm ya^^
‼️ Bisa ??, keep 25.10 / 11.11"
pos,@sbyfess pesenkan gojek/grab kan bisa
pos,@collegemenfess Gojek dan grab adalah solusi nder ?? walaupun bolak balik bisa abis hampir 100k tp aku bahagia ????????
neg,@YoGojekYo @gojekindonesia @Dickypowerfull Gojek jelek harus menanggung jelek juga goto.. Kan bestie
pos,"@citizenstores Kemaren kuabis opshar, pada offer gojek 150-165"
neg,Punya tetangga bngst bgt tiap pesen grab/gojek pake alamat rumah org ganggu bgt tolol. Kl mau standby lah jgn sampe ganggu org lain. Kdg ojolnya jg mangkreng deui. Hadeuh
pos,"RT @ldfebui: Melalui riset terbaru LD, ekosistem Gojek dan GoTo Financial tercatat memberikan kontribusi sebesar Rp249 triliun atau setara…"
pos,@alaakeifak Haduuh... Liat antriannya udah ngeri... Bisa pulang tengah malam... Besok ya... Dikirim pake gojek nyampe..?????
pos,@collegemenfess Pegi sendiri naik gojek ato engga busway nder
pos,"Kirim orderan OL-shop lancar tanpa ribet ngantar, #GoSend solusinya. 
Download #Gojek dan mulai #HidupTanpa ##HidupTanpaBatas #GojekTomohon"
pos,"RT @ldfebui: Laporan lengkap dan infografis terkait riset terbaru LD FEB UI ini bisa diunduh di:

https://t.co/fjuCa6tgqr"
pos,"RT @ldfebui: Data jg menunjukkan adanya tren positif, pemulihan pendapatan para mitra Gojek di tahun kedua pandemi.

Pendapatan mitra UMKM…"
pos,nctn! offer renjun boom gojek pas nya berapa ya? sekalian pasarannya skrng berapa? Mayang!
pos,RT @ldfebui: Tercatat ekosistem Gojek juga membantu konsumen dan mitranya untuk tetap produktif selama masa pandemi. Ada 4 dari 5 UMKM yang…
pos,"@irfnlhkm @gojekindonesia @Dickypowerfull Gojek Cot, Gojek.
Ini mah beda sama GoTo :("
pos,avatar gojek gue dibilang foto seleb...
pos,@indomyfess Dkt bgt tinggal naik gojek sampe ?? yg jadi tkt nya itu war tiket sama ribuan army. Blm lagi server down duh elah
neg,"ini sebabnya aku gapernah berani naik kendaraan umum kemanapun. even grab atau gojek sekalipun. karna ya ini, orang mental selangkangan ada dimana mana. dan aku juga kalau di posisi dia juga bingung mau gimana, karna udah takut diancem segala macem. https://t.co/cXNQxrqU94"
pos,outfit pemaen nya kek mang gojek sekilas https://t.co/7yICG44Lyf
neg,"Karek nepi jigana viscardut, ngebut make gojek ??"
neg,Mohon maaf gojek maksudnya begimana ini ya bapaknya disuru tembus dinding gitu?? Kagaak ada jalannya woy ahh ???????? receh bet https://t.co/6nAdtskQm4
pos,"RT @lynnatann: TWITTER PLEASE DO YOUR MAGIC

buat temen² yg di Surabaya - Sidoarjo beberapa hari ini aku nemu kayak semacam usaha cafe keci…"
pos,"@akubii0 Kerja tapi tetep bisa jemput, izin keluar kantor bentar, jemput aku, terus balik lgi ke kantor.
Kalo dibilang “kenapa nggak pake gojek?” Papi selalu bilang, mending uangnya disimpan aja, kalo papi nggak bisa jemput, baru deh pake gojek."
pos,"gua kemana-mana emang sendiri, tapi kalo dianter sama gojek masih masuk kategori independent gak…?"
pos,"RT @yoongihyunghere: @indomyfess 4. Transport (gojek dll dari Tangsel) siapin aja: 1JT
5. Beli merchandise yg di tempat takut pengen ?? siap…"
pos,kalo beli mending gojek aj deh... males ke sana
pos,"Sesebel-sebelnya diriku dgn drive Gojek, tetep selalu kukasih bintang 5. Karena ya rezeki mereka bergantung bgt sama rating ini. Kalo cuma kesel terus matiin rezeki orang lain itu namanya zalim ya. https://t.co/1ytLhxewWn"
neg,PLEASE GUE BARU MAU NAIK GOJEK INI GAK LANGSUNG UMUMIN RANKING KAN YA
pos,"@busybreath ini yang nanya gimana, cuma konekin akun tokped ke gojek. kalo udah nanti kupon cb nya buanyak buanget. dari yang 10% sampe 75rb (kode: GOPAY), cb 50% 50rb, cb 15% 50rb, cb 20% 30rb"
neg,susah susah cari duit ehh abis buat gojek WKWKW
pos,"yuk yg mau verif, bisa dm / wa aja biar fastrep

t. otp verif nokos nomor kosong gojek shopee wa line twt ig 
#zonauang #zonaba #zonabu #zonajajan https://t.co/8OFFC43UcJ"
pos,"suka keingetan dlu naik bis Bdg - Bogor, berangkat jam 5 sore, sampe Bogor kadang jam 10 ato klo macet bgt jam 11an, dr depan Yogya Cimanggu naik gojek ampe kostan..
??️??️KOK DULU SEBERANI ITU YAAAA HALO APAKABAR SEKARANG NAIK GOJEK DEKET AJA KADANG SUKA DEGDEGAN"
neg,"Ojol Rusia akan ‘bantai’ Gojek-Grab saat keduanya berebut ‘restaurant hantu’

https://t.co/1xYfCcUbRJ

#indriver #gojek #grab #ojol #ojekonline #Lensaindonesiacom"
pos,"RT @favoritemoon_: @Dickypowerfull @gojekindonesia gue gangerti sama orang yang tegaan kaya gini, senyebel2in nya driver gojek gue selalu k…"
pos,Wah si gojek menang ???? https://t.co/lIRzjEfCXs
pos,"halo, ada yg bisa bantu co in sesuatu di gostore ngga? prefer yg hafal pin gojek nya yaa #zonauang️ #zonaba #zonajajan"
neg,"@iHugJayden ayo berantem, serlok gue udh mesen gojek"
pos,"@Kimchii1005_ betulll, contohnya aja dari perkembangan ekonomi digital itu kemunculan tokopedia dan gojek salah satunya dimana mereka juga udah membuka luas lapangan kerja di Indonesia. semua jadi pelengkap gitu buat mendorong Indonesia maju dimasa depan. nice kimchi!"
neg,akun gojek gua bau kah?kok gak dapet driver cok
pos,"RT @YoGojekYo: Friends, bantu up yok.
Kejadian seperti ini sering terjadi, driver rentan dapat sanksi sepihak.
Temen² driver Gofood paling…"
pos,"Kita berharap kontribusi Gojek yg hampir 1,6% PDB Indonesia ini bisa semakin besar, diikuti banyak perusahaan lain..

dan sekaligus membuktikan kalau ekonomi kita mulai pulih. ??"
neg,"RT @Dickypowerfull: Hai @gojekindonesia saya pengen banding buat yang satu ini dong,saya ga terima dikasi rating bintang 1 karena sudah mem…"
pos,"Contohnya bisa berupa GOJEK (transportasi), OVO, DANA (e-wallet), SHOPEE, TOKOPEDIA (e-commerce). Nahh segitu aja gais buat thread kali ini?? (sumber thread: beritasatu) #lifeatUNPAR #kelasMIHI https://t.co/9By0s4C4RT"
pos,"Ini membuktikan Gojek dan ekosistemnya memang punya multiplier effect besar terhadap pergerakan ekonomi terutama di level mikro: melibatkan dan menggerakkan UMKM tetap bertahan dan pulih di masa sulit ini. 

Salut."
pos,"Skrg mah mager keluar ada ojol yang siap beliin jajanan wkwkwkw ❤️?? 
Ada diskon pula ayeee

#gojek https://t.co/YMRTGdRk8k"
neg,@veleist lagi nyari driver gojek ke thailand ga dapet dapet kh
pos,@NeindudAdunn @FFOODFESS di gojek janjiw kedaton masi avail anjir
neg,"Ditolak mang gojek 3x karna ujan kali yaaa, atuh ini mah kepengen bgt??"
neg,"tadi si abang gojek nganterin gofood krmh, ak liat maps dr apk gojek, abngnya msh jauh tp doi blng udh di titik lokasi. y uda aku si santuy ini sok ngide blg ke abngnya, ""maju lgi bang"". buset trnyta abngnya maju bnrn, smp jauh dr lokasi. and then, pas ktmu dia ksl. maaf ya bang"
pos,kayak jaket gojek https://t.co/r6Hro3kGaO
neg,"@gojekindonesia min kenapa app gojek saya dari kemarin stuck di halaman ini ya, ga muncul2 tulisannya https://t.co/1EC5gofbLL"
neg,Kenapa ya kalo tiap naik gojek suka kesel? Kalo ga lelet bgt ya ngebut bgt kaya skg. Paling kesel kalo udh bawa motor ngebut teh apa sih yg dikejar? Ga bisa ngehargain yg diboncengnya cewe gt?
neg,ngemper di jalan lebih dari sejam ternyata ga sido latian mek perkoro ga gelem jemput. padahal kon tau aku gak ada duit buat gojek. yg butuh saposeee? ngerti gitu aku pulang daritadi asuuii hhhhhhhhhh
neg,Hallo teman2 mau numpang tanya. Tadi aku pesen obat via gojek. Kubayar via gopay. Kata Aa'-nya bisa ngasih tip via gopay. Tapi aku udah nunggu daritadi kok belum ada permintaan penilaian driver dari gojek ya? kasian Aanya ujan2an ????
neg,Gojek ngasih vocher doang pas dipake kaga bisa ??
pos,@WioReflia Gih ten nge-Grab sambil gojek’an ten online
neg,"Ada beberapa marketplace yang berkembang di Indonesia, seperti Tokopedia, Shopee, Gojek, dan Grab. Sepintas keberadannya membuat aktivitas pengguna menjadi lebih efisien. Namun, jika tidak bijak menggunakannya, ternyata juga bisa menimbulkan ancaman untuk lingkungan.
#zerowaste https://t.co/AjYjNUrYIm"
pos,"@hakimsrg Gojek aja bulanan
Paling 3 jt
Udah murah itu????"
pos,"@jaemcityx Makji do'ain aku ya lagi sakit, biar sembuh ga tau tulang ekor aku sakit bgt, pdhl aku tulang punggung keluarga buat anak"" Aku, biar aku bs gojek lagi, Amin"
neg,gp lagi apa sekarang? INI MALES BANGET DI SURUH NUNGGU TAMU AKA MAS GOJEK
pos,"aku : gk tau mau makan apa
tanganku : /buka gojek, pesen mcd"
neg,"dulu acc gojek gue pake main email itu, terus dulu sempet coba login gak bisa, gue kira diblokir, ternyata di pake orang dan itu bukan gue. Gue udah coba email ke CS nya tapi diarahin untuk pake fitur 'laporan' di aplikasinya, gue udah lapor dan jawabannya template semua"
pos,@frankosteino Luv bgt sama gojek pokoknya ❤
pos,Project ini disponsori oleh diskon nya gojek ?? https://t.co/cECLjRDKpa
pos,"Barusan ada Abang Gojek dateng..
Perasaan kagak pesen..
Ternyata adek yang mesenin ??
Thank you~
Seger lagi mata saia ??️??️

Kak @Y_ChikaJKT48 mau tidak? Ehe.. https://t.co/5lYvtEafTk"
pos,"@Inisuhes Sehat"" buat bapak gojek dan bapak km mbak❤️ mbak juga jaga kesehatan"
pos,"@bertanyarl Setauku di apk gojek bilang bisa topup berapa ajaa (ada minimal topup) di driver, cm lupa sih coba cek ajaah"
neg,kapan d kota saya ada gojek??
neg,"@Dickypowerfull @gojekindonesia gue gangerti sama orang yang tegaan kaya gini, senyebel2in nya driver gojek gue selalu kasih bintang 5. mereka sadar gaksih kelakuan mereka tuh ngehambat rezeki orang? jahat banget"
pos,Kehadiran Gojek Disebut Bawa Dampak Ekonomi yang Signifikan https://t.co/rZ4LowO5fA
neg,@Might1995 kalo lo males inget kata abang gojek
pos,"perbincangan sama pak gojek emang menyenangkan, sampai pada akhirnya bapaknya komen ""wih kalo udah pendidikan tinggi sama kerjanya enak, susah dong ya cari cowok yang sepadan?"" auto kicep aku ??????"
pos,"@HAlKYUUFESS Log out buat buka akun lain pas balik lagi ditodong suruh migrasi gopay, pas mau belanja pilihan tokopointsnya redup gabisa dipake trus ada notif suruh migrasi gopay, yaudah pasrah. Worth it sih begitu konek gojek dapet member juragan cuma rugi di toped enakan gold."
pos,"Laporan lengkap dan infografis terkait riset terbaru LD FEB UI ini bisa diunduh di:

https://t.co/fjuCa6tgqr"
pos,"@banjarbase Gojek, didalamnya ada gotix. Nah bisa pesan di gotix"
pos,"GOSEND INSTANT DISKON S/D 150RB PAKE KODE PROMO 'HEMAT'
Jadi bisa kirim barang lebih cepat dan aman. Yuk #CepetanGoSendInstant .

Info lebih lanjut klik link: https://t.co/AP5jYAGK6d https://t.co/2wiMyUnLgD"
pos,"Tercatat ekosistem Gojek juga membantu konsumen dan mitranya untuk tetap produktif selama masa pandemi. Ada 4 dari 5 UMKM yang menganggap GoFood menumbuhkan usaha. Bahkan, 1 dari 3 merchant GoFood saat ini adalah pengusaha pemula yg langsung berjualan online. 

#ldfebui https://t.co/Sef4RZOTVp"
pos,Yang punya vouchernya dan ada gojek bole gaksi besok ku pinjam mau order ini?? ee tapi bisa gak ngegopud dari beda dom? Aku gapunya apk gojek.... https://t.co/Ibcz6SJU8y
pos,"Data jg menunjukkan adanya tren positif, pemulihan pendapatan para mitra Gojek di tahun kedua pandemi.

Pendapatan mitra UMKM GoFood naik sekitar 66% dibanding tahun lalu. Sementara pendapatan mitra GoCar dan GoRide, naik masing-masing 24% & 18% dibanding tahun lalu. 

#ldfebui https://t.co/Rq9Mf3tFBs"
pos,"Aplikasi Gojek CS sudah terhubung dengan aplikasi PeduliLindungi. Lebih praktis dalam satu aplikasi saja dan bisa sekalian menggunakan fitur yang ada juga promo Gojek yang di tawarkan. ??

#PapaEko
#SurveysHunter
@gojekindonesia https://t.co/Jpwhk52NCJ"
pos,"siti sarah azzahra alias gojek 
?????? ?????? https://t.co/1N2xZU5cDF"
